Company,Role Title,Location,Internship Season,Posting Date,Link,Source Tracker,Keywords,Priority Score,Notes for Coffee Chat / Outreach,Status
SpaceX,GNC Engineering Intern,Hawthorne CA / Starbase TX,Fall 2026,,,job-boards.greenhouse.io/spacex,"GNC, trajectory, flight dynamics, simulation",5,Lead with Rust 6-DOF sim; mention valve dynamics + aero lookup tables. SpaceX GNC team moves fast — apply day one.,Watching
SpaceX,Propulsion Engineering Intern,McGregor TX / Hawthorne CA,Fall 2026,,,job-boards.greenhouse.io/spacex,"propulsion, feed system, combustion, valves",5,Highlight propulsion feed system design from first principles — sizing regulators/burst disks/valves under mass constraints. Exact match for their Raptor/Merlin test work.,Watching
SpaceX,Flight Reliability / Systems Engineering Intern,Hawthorne CA,Fall 2026,,,job-boards.greenhouse.io/spacex,"systems engineering, vehicle integration, simulation",5,Mention co-founder background + customer discovery. Show you understand vehicle-level tradeoffs not just component-level.,Watching
SpaceX,Flight Software Engineering Intern,Hawthorne CA,Fall 2026,,,job-boards.greenhouse.io/spacex,"flight software, simulation, controls, Python, C++",5,Mention PX4 + Gazebo experience. Emphasize comfort with hardware-software boundaries in real-time systems.,Watching
Rocket Lab,GNC / Trajectory Intern,Long Beach CA / Wallops VA,Fall 2026,,,rocketlabusa.com/careers,"GNC, trajectory, orbital mechanics, flight dynamics",5,Small team = high ownership. Lead with 6-DOF Rust sim + orbital mechanics background. Electron and Neutron are both active programs.,Watching
Rocket Lab,Propulsion Systems Intern,Long Beach CA,Fall 2026,,,rocketlabusa.com/careers,"propulsion, combustion, feed system, Rutherford engine",5,Directly relevant: Rocket Lab uses electric pump-fed engines. P&ID to hardware experience is directly applicable.,Watching
Hermeus,Propulsion / Systems Intern,Atlanta GA,Fall 2026,,,hermeus.com/careers,"propulsion, hypersonic, GNC, systems, thermal",5,YC-backed hypersonic aircraft startup. Mention propulsion feed system work + thermal analysis. Very small team — referrals help enormously.,Watching
Hermeus,GNC / Simulation Intern,Atlanta GA,Fall 2026,,,hermeus.com/careers,"GNC, flight simulation, trajectory, CFD, controls",5,Hypersonic GNC is niche — 6-DOF Rust sim is directly relevant. Show familiarity with high-speed aero regimes.,Watching
Impulse Space,Propulsion Engineering Intern,Culver City CA,Fall 2026,,,impulsespace.com/careers,"propulsion, orbital, feed system, combustion, thruster",5,Last-mile orbital delivery. Feed system design + valve sizing are core to their Mira vehicle. Very technical team.,Watching
Impulse Space,GNC / Trajectory Intern,Culver City CA,Fall 2026,,,impulsespace.com/careers,"GNC, trajectory, orbital mechanics, simulation",5,Orbital transfer vehicles need precise GNC. Mention 6-DOF sim + numerical methods background.,Watching
True Anomaly,GNC / Autonomy Intern,Denver CO,Fall 2026,,,trueanomaly.space/careers,"GNC, autonomy, orbital, proximity ops, flight SW",5,Space domain awareness + inspection vehicles. GNC + autonomy focus is a direct fit. Mention controls and simulation background.,Watching
True Anomaly,Flight Software Intern,Denver CO,Fall 2026,,,trueanomaly.space/careers,"flight software, autonomy, GNC, C++, Python",5,Small fast-moving team. Emphasize Rust/C++ systems programming + embedded systems awareness.,Watching
Apex Space,Systems / GNC Intern,Los Angeles CA,Fall 2026,,,apace.com/careers,"systems, GNC, satellite bus, propulsion, avionics",5,Satellite bus startup. Systems engineering + GNC background is relevant. Mention P&ID and propulsion systems work.,Watching
Stoke Space,Propulsion Engineering Intern,Kent WA,Fall 2026,,,stokespace.com/careers,"propulsion, SSTO, combustion, turbopump, feed system, structures",5,Fully reusable SSTO rocket startup (VC-backed). Feed system + propulsion design from first principles is directly relevant. Very technical culture.,Watching
Stoke Space,GNC / Systems Intern,Kent WA,Fall 2026,,,stokespace.com/careers,"GNC, flight dynamics, systems engineering, simulation",5,Novel vehicle design needs strong simulation. Lead with 6-DOF Rust sim work.,Watching
Orbital Operations,GNC / Flight SW Intern,San Jose CA,Fall 2026,,,orbitalops.com/careers,"GNC, flight software, orbital mechanics, autonomy, simulation",4,YC W22. Autonomous satellite operations — GNC + simulation focus. Small team, high ownership. Mention 6-DOF sim + ML applied to physics.,Watching
Blue Origin,GNC Engineering Intern,Kent WA / Cape Canaveral FL,Fall 2026,,,blueorigin.wd5.myworkdayjobs.com,"GNC, trajectory, guidance, navigation, flight dynamics",4,Blue Origin posts GNC intern roles (confirmed for 2026). Mention 6-DOF sim and orbital mechanics. New Glenn is the active vehicle.,Watching
Blue Origin,Propulsion Systems Intern,Kent WA / Huntsville AL,Fall 2026,,,blueorigin.wd5.myworkdayjobs.com,"propulsion, BE-4, combustion, feed system, turbomachinery",4,BE-4 engine development. Feed system design + P&ID to hardware experience is relevant. Huntsville is engine test site.,Watching
Blue Origin,Systems Engineering Intern,Kent WA,Fall 2026,,,blueorigin.wd5.myworkdayjobs.com,"systems engineering, vehicle integration, digital twin",4,Vehicle-level integration. Co-founder background + systems mindset is a differentiator. Mention automated engineering toolchains.,Watching
Anduril Industries,GNC / Autonomy Engineering Intern,Costa Mesa CA / Atlanta GA,Fall 2026,,,anduril.com/careers,"GNC, autonomy, controls, flight simulation, Lattice OS",4,Defense autonomy. GNC + simulation background directly relevant to Roadrunner / Fury / Altius programs. Emphasize comfort with real-time embedded systems.,Watching
Anduril Industries,Propulsion / Systems Engineering Intern,Costa Mesa CA,Fall 2026,,,anduril.com/careers,"propulsion, systems, feed system, thrust vector control",4,Jet-powered drones and missiles. Feed system + TVC experience is relevant. Fast-moving engineering culture.,Watching
Shield AI,Flight Autonomy Intern,San Diego CA / Dallas TX,Fall 2026,,,shield.ai/careers,"autonomy, flight dynamics, GNC, simulation, V-BAT",4,AI pilot for drones. Flight dynamics + simulation + controls background is a direct fit. V-BAT and F-16 autonomy are active programs.,Watching
Joby Aviation,Flight Dynamics / GNC Intern,Santa Cruz CA,Fall 2026,,,jobyaviation.com/careers,"flight dynamics, GNC, eVTOL, controls, simulation, aero",4,eVTOL. 6-DOF flight dynamics sim is directly relevant to their vehicle development. Mention aerodynamic lookup tables and wind modeling.,Watching
Joby Aviation,Aerodynamics / CFD Intern,Santa Cruz CA,Fall 2026,,,jobyaviation.com/careers,"CFD, aerodynamics, OpenFOAM, Fluent, aero simulation",4,Active CFD team. Mention Godunov/Lax-Wendroff solver work in C++ + Fluent experience.,Watching
Wisk Aero,GNC / Simulation Intern,Mountain View CA,Fall 2026,,,wisk.aero/careers,"GNC, autonomy, simulation, flight dynamics, controls",4,Boeing-backed autonomous air taxi. GNC + simulation + autonomy focus. Mention 6-DOF sim and Python/C++ background.,Watching
Archer Aviation,Propulsion / Systems Intern,San Jose CA,Fall 2026,,,archer.com/careers,"propulsion, eVTOL, systems, battery, thermal",4,eVTOL startup. Propulsion (electric) + thermal systems + vehicle integration.,Watching
Ursa Major,Propulsion Engineering Intern,Berthoud CO,Fall 2026,,,ursamajor.space/careers,"propulsion, turbopump, combustion, feed system, rocket engine",4,Rocket propulsion components company (turbopumps + engines). Feed system + propulsion design is directly relevant. VC-backed.,Watching
Vaya Space,Propulsion / Systems Intern,Merritt Island FL,Fall 2026,,,vayaspace.com/careers,"propulsion, hybrid rocket, feed system, systems engineering",4,Hybrid solid rocket small launch. VC-backed. P&ID and feed system experience is directly applicable.,Watching
Relativity Space,Propulsion Engineering Intern,Long Beach CA,Fall 2026,,,relativityspace.com/careers,"propulsion, 3D printing, combustion, Aeon engine, digital twin",4,3D-printed rockets + digital twin manufacturing. Mention automated engineering toolchains (Ansys pipeline) + propulsion background.,Watching
Firefly Aerospace,Propulsion Systems Intern,Cedar Park TX,Fall 2026,,,fireflyspace.com/careers,"propulsion, combustion, feed system, Alpha rocket, systems",4,Orbital launch vehicle. Propulsion feed system design is a direct match. VC-backed, growing fast.,Watching
Sierra Space,GNC / Systems Intern,Louisville CO / Madison WI,Fall 2026,,,sierraspace.com/careers,"GNC, Dream Chaser, systems engineering, reentry, trajectory",4,Dream Chaser spaceplane. GNC + trajectory + systems for a reusable vehicle. Unique orbital + reentry regime.,Watching
Vast Space,Systems / Propulsion Intern,Long Beach CA,Fall 2026,,,vast.space/careers,"systems engineering, propulsion, GNC, space station",4,Commercial space station startup. Large funding. Systems + propulsion + GNC.,Watching
K2 Space,Systems / Propulsion Intern,El Segundo CA,Fall 2026,,,k2space.com/careers,"systems engineering, propulsion, high-power satellite, GNC",4,High-power GEO satellite buses. Systems + power + propulsion.,Watching
Starfish Space,GNC / Proximity Ops Intern,Kent WA,Fall 2026,,,starfishspace.com/careers,"GNC, proximity operations, orbital servicing, rendezvous, simulation",4,Orbital servicing + GNC. Proximity operations + GNC is a very niche fit. 6-DOF sim background is relevant.,Watching
Muon Space,Systems / Flight SW Intern,Mountain View CA,Fall 2026,,,muonspace.com/careers,"systems engineering, flight software, Earth observation, simulation",4,Earth observation cubesat startup. Systems + flight SW + simulation.,Watching
CesiumAstro,Systems / RF / Propulsion Intern,Austin TX,Fall 2026,,,cesiumastro.com/careers,"systems, propulsion, phased array, avionics, satellite",4,Phased array comms + propulsion systems. VC-backed Austin startup.,Watching
The Aerospace Corporation,Systems Engineering Intern,El Segundo CA / Chantilly VA,Fall 2026,,,aerospace.org/careers,"systems engineering, trajectory, simulation, CFD, orbital analysis",3,FFRDC — works on the hardest government space problems. TECTalk mentorship. Mention trajectory + simulation work and interest in national security space.,Watching
NASA (GSFC),GNC / Trajectory Intern,Greenbelt MD,Fall 2026,,,intern.nasa.gov,"GNC, trajectory, orbital mechanics, simulation, flight dynamics",3,Fall 2026 deadline ~May 22 2026. Goddard does GNC + trajectory for science missions. One application reviewed agency-wide. Very technical for a government org.,Watching
NASA (JPL),Simulation / Robotics Intern,Pasadena CA,Fall 2026,,,intern.nasa.gov,"simulation, robotics, GNC, autonomy, digital twin, Python, C++",3,JPL runs rovers + planetary missions. Simulation + autonomy is a fit. ML applied to physics (PINNs) is interesting to JPL robotics.,Watching
NASA (JSC),GNC / Propulsion Intern,Houston TX,Fall 2026,,,intern.nasa.gov,"GNC, propulsion, trajectory, rendezvous, Artemis, simulation",3,Johnson Space Center — Artemis GNC + propulsion. Rendezvous + proximity ops. Very hands-on for a government org.,Watching
GE Aerospace,Propulsion / CFD Intern,Cincinnati OH / Evendale OH,Fall 2026,,,careers.geaerospace.com,"propulsion, CFD, turbomachinery, thermal, combustion, Fluent",3,Jet engine propulsion + CFD. CFD background (Fluent + Godunov solvers) is directly relevant. Strong technical culture.,Watching
GE Aerospace,Structures / FEA Intern,Cincinnati OH,Fall 2026,,,careers.geaerospace.com,"FEA, structures, Ansys Mechanical, thermal, aeroelastic",3,FEA + structural analysis on engine components. Ansys Mechanical background is a direct match.,Watching
Northrop Grumman,GNC / Systems Intern,Redondo Beach CA / Dulles VA,Fall 2026,,,northropgrumman.com/careers,"GNC, systems engineering, defense, autonomy, simulation",3,Space systems + defense. GNC for satellites and interceptors. Security clearance may eventually be needed.,Watching
L3Harris Technologies,Systems / Mission Systems Intern,Melbourne FL / Rochester NY,Fall 2026,,,careers.l3harris.com,"systems engineering, avionics, simulation, EW, mission systems",3,Electronic warfare + avionics + space systems. Wide range of roles.,Watching
Lockheed Martin (Skunk Works),Systems / Advanced Dev Intern,Palmdale CA,Fall 2026,,,lockheedmartin.com/careers,"systems engineering, advanced development, simulation, propulsion",2,Skunk Works specifically — target this division not general LM. Experimental aircraft. Referral helps a lot here.,Watching
RTX / Collins Aerospace,Propulsion / Thermal Intern,East Hartford CT / West Palm Beach FL,Fall 2026,,,careers.rtx.com,"propulsion, thermal, CFD, combustion, aerostructures",2,Pratt & Whitney under RTX. Jet engine propulsion + thermal + CFD. Large org but technical depth exists.,Watching
Bell Textron,Flight Dynamics / GNC Intern,Fort Worth TX,Fall 2026,,,bellflight.com/careers,"flight dynamics, GNC, rotorcraft, tiltrotor, simulation, V-280",2,V-280 Valor + V-22 Osprey programs. Tiltrotor GNC is unique. Flight dynamics sim background is relevant.,Watching
TikTok,"Frontend Software Engineer Intern, Ads Measurement Signal and Privacy","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
TikTok,Campaign Operations Project Intern,"Los Angeles, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,Platform Campaign Project Intern,"Seattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Product Strategy Project Intern, TikTok-Product-Business Analytics","Los Angeles, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
RTX,Systems Engineering Intern,"Huntsville, AL",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
Honeywell,Systems Engineering Intern,United States,Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
TikTok,"Software Engineer Intern, Monetization Technology","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Autonomy Engineer Intern, Computer Vision/Deep Learning","San Mateo, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,autonomy,,,New
↳,"Autonomy Engineer Intern, Summer 2026","San Mateo, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,autonomy,,,New
TikTok,Global Product Strategist Intern,NYC,Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,Product Strategist Intern - Global Monetization Product and Technology,"San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
SpaceX,"Silicon Hardware Engineering Intern/Co-op, Silicon Engineering","4 locationsIrvine, CARedmond, WAWest Athens, CASunnyvale, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,spacex,,,New
TikTok,Product Manager Intern,"San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
ONE Finance,AI Research Intern,NYC,Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
Confluent,Software Engineering Intern,"Toronto, CAN",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fluent,,,New
Waymo,"Systems Engineering Intern, Behaviors","San Francisco, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
TikTok,"Site Reliability Engineer Intern, USDS","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
SpaceX,Software Engineering Intern/Co-op 🇺🇸,"8 locationsBastrop, TXBrownsville, TXCape Canaveral, FLHawthorne, CAIrvine, CAMcGregor, TXRedmond, WASunnyvale, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,spacex,,,New
↳,Engineering Intern/Co-op 🇺🇸,"8 locationsBastrop, TXBrownsville, TXCape Canaveral, FLHawthorne, CAIrvine, CAMcGregor, TXRedmond, WAVandenberg, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,spacex,,,New
↳,Automation Controls Engineer Intern,"Neenah, WI",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,controls engineer,,,New
TikTok,"Backend Software Engineer Intern, Media Platform","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Engineer Intern, Live Service","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Backend Software Engineer Intern, Foundation Platform","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Engineer Intern, Media Engine","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Engineer Intern, Video-on-Demand Algorithm","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,Software Engineering Intern,"Austin, TX",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fluent,,,New
TikTok,"Software Engineer Intern, Intelligent Creation - Generative AI and Graphics","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
TikTok,"Software Engineer Intern, Data Ecosystem","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
Fable Security,Software Engineering Intern,"San Francisco, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
TikTok,QA Engineer Intern (TikTok-Privacy and Security-Product Privacy),"San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Engineer Intern, Global CRM","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Data Scientist Intern, Privacy and Data Protection Office","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Strategy Intern, TikTok Shop Resource Management",Seattle,Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Frontend Engineer Intern, Trust and Safety-Engineering-Data Product & General Service","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Engineer Intern, Trust and Safety -Engineer-AI Safety","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Frontend Engineer Intern, Trust and Safety-Engineering-Risk & Response",Seattle,Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Engineer Intern, Trust and Safety - Algorithm Engineering","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Product Manager Intern, TikTok Shop IPR Product","Seattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Product Manager Intern, TikTok Shop Operation Product, CRM","Seattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Machine Learning Engineer Intern, TikTok-Recommendation","Seattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Machine Learning Engineer Intern, Trust and Safety - CV/NLP/Multimodal LLM","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Engineer Intern, Trust and Safety - Engineering-Core Safety","Seattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Backend Software Engineer Intern, Trust and Safety-Engineering-Risk & Response","Seattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Software Development Test Engineer Intern, Trust and Safety - QA","San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Product Manager Intern, TikTok Shop Seller Risk/Performance Score Product","Seattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,fea,,,New
↳,"Linux Engineer Intern, IT and Systems Engineering","New York, NY",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
↳,"Software Engineer Intern (Backend, Rust)",New York,Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,cfd,,,New
Shield AI,C++ Software Engineering Intern,"San Diego, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,shield ai,,,New
↳,Systems Engineering Intern,"Foster City, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
Anduril Industries,Software Engineer Intern,"Reston, VA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,anduril,,,New
Relativity Space,Flight Software Engineer Intern,"Long Beach, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,"relativity space, flight software",,,New
Shield AI,Hardware Test Engineering Intern,"Dallas, TX",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,shield ai,,,New
↳,"Systems Engineering Intern, El Segundo","Los Angeles, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
CesiumAstro,Embedded Software Engineering Intern,"Westminster, CO",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,cesiumastro,,,New
Bloom Energy,Systems Engineering Intern,"San Jose, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
Anduril,Mission Operations Engineer Intern,"Washington, DC",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,anduril,,,New
Rocket Lab USA,Security Analyst Intern,"Long Beach, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,rocket lab,,,New
Relativity Space,Data Science Intern,"Long Beach, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,relativity space,,,New
Oshkosh,Autonomy Engineer Intern,"Pittsburgh, PA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,autonomy,,,New
Muon Space,Data Science Intern,"Mountain View, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,muon space,,,New
↳,"Systems Engineering Intern, Scenario Taxonomy","Mountain View, CA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,systems engineering,,,New
Anduril,Software Engineer Intern 🛂,"6 locationsAtlanta, GABoston, MACosta Mesa, CAIrvine, CAReston, VASeattle, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,anduril,,,New
Stoke Space,Software Engineer Intern,"Kent, WA",Summer/Fall 2026,2026-04-16,,vanshb03/Summer2026-Internships,stoke space,,,New
